plot no.,s,e,p mg/l,k (mg/l),ca (mg/l),mg (mg/l),exch.acidity (cmol/l),total cations (cmol/l),acidity sat. %,ph(kcl),zn (mg/l),mn (mg/l),cu (mg/l),unnamed: 12,plot no..1,organic c. (%),n (%),clay (%)
TSPLOT 35-A,,,18.0,106.0,125.0,29.0,2.43,3.56,68.0,4.06,0.6,4.0,0.9,,TSPLOT 35-C,1.6,0.12,14
TSPLOT 35-B,,,3.0,46.0,21.0,8.0,1.34,1.63,82.0,4.38,1.0,1.0,0.3,,TSPLOT 35-D,< 0.5,<  0.05,14
TSPLOT 35-C,,,5.0,58.0,38.0,9.0,1.27,1.68,76.0,4.39,0.1,1.0,0.4,,TSPLOT 36-A,4,0.21,30
TSPLOT 35-D,,,2.0,46.0,81.0,38.0,2.13,2.96,72.0,4.26,0.2,1.0,0.1,,TSPLOT 36-B,3.5,<  0.17,36
TSPLOT 36-A,,,4.0,102.0,669.0,341.0,2.0,8.41,24.0,4.05,0.3,9.0,3.2,,TSPLOT 37-A,1.9,0.16,20
TSPLOT 36-B,,,3.0,70.0,569.0,356.0,2.38,8.33,29.0,4.06,0.2,13.0,3.0,,TSPLOT 38-A,2.3,0.19,20
TSPLOT 37-A,,,3.0,212.0,476.0,169.0,0.32,4.63,7.0,4.12,0.8,9.0,0.9,,TSPLOT 39-A,3.8,0.18,48
TSPLOT 37-B,,,2.0,55.0,211.0,97.0,1.9,3.89,49.0,3.93,0.2,2.0,1.1,,TSPLOT 40-A,3.8,0.16,38
TSPLOT 37-C,,,1.0,46.0,246.0,98.0,1.93,4.08,47.0,3.95,0.1,2.0,0.6,,TSPLOT 40-B,1.2,< 0.05,43
TSPLOT 38-A,,,3.0,212.0,562.0,186.0,0.49,5.37,9.0,4.16,0.1,1.0,1.0,,TSPLOT 40-C,< 0.5,< 0.05,16
TSPLOT 39-A,,,5.0,204.0,571.0,244.0,1.54,6.92,22.0,4.08,0.4,36.0,7.7,,TSPLOT 41-A,2.4,0.16,13
TSPLOT 40 -A,,,3.0,97.0,1513.0,706.0,1.26,14.87,8.0,4.14,0.7,5.0,1.4,,TSPLOT 41-B,1.2,<  0.05,19
TSPLOT 40 -B,,,2.0,34.0,1190.0,498.0,0.54,10.66,5.0,4.41,0.3,3.0,0.7,,TSPLOT 41-C,<  0.5,<  0.05,8
TSPLOT 40 -C,,,2.0,12.0,5136.0,1102.0,0.24,34.97,1.0,4.7,0.4,2.0,0.7,,TSPLOT 41-D,<  0.5,<  0.05,15
TSPLOT 41-A,,,14.0,169.0,176.0,48.0,1.55,3.26,48.0,4.1,0.6,5.0,1.0,,TSPLOT 42-A,1.5,0.14,29
